epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1868.57,0.78619,0.43475,0.98535,0.96112,0.94118,0.96877,0.76752,0.77961,0.37294,0.9723,0.000462281,0.000462281,0.000462281
43,1911.82,0.79159,0.42424,0.97436,0.9913,0.92865,0.98123,0.77614,0.75782,0.35788,0.96023,0.000438703,0.000438703,0.000438703
44,1956.85,0.78319,0.41053,0.98354,0.97619,0.91722,0.97742,0.77438,0.75186,0.35497,0.95812,0.000415124,0.000415124,0.000415124
45,1998.36,0.76601,0.41337,0.96868,0.98953,0.90965,0.97826,0.77725,0.76685,0.35534,0.96264,0.000391546,0.000391546,0.000391546
46,2048.54,0.72274,0.36644,0.94818,0.99004,0.91037,0.97592,0.77719,0.74793,0.35315,0.95696,0.000367967,0.000367967,0.000367967
47,2089.62,0.73488,0.36663,0.95676,0.98197,0.91129,0.97171,0.77477,0.7448,0.35572,0.95884,0.000344389,0.000344389,0.000344389
48,2131.61,0.71595,0.35748,0.95827,0.95688,0.96337,0.98533,0.78127,0.78141,0.34596,0.96682,0.00032081,0.00032081,0.00032081
49,2175.16,0.68885,0.34869,0.93024,0.9735,0.94829,0.97772,0.79098,0.73425,0.33773,0.94977,0.000297232,0.000297232,0.000297232
50,2218.83,0.69857,0.34811,0.94219,0.9591,0.96944,0.98462,0.78474,0.74628,0.34395,0.95332,0.000273654,0.000273654,0.000273654
51,2260.86,0.67651,0.38997,0.92109,0.95464,0.95028,0.97418,0.77172,0.74921,0.34139,0.95387,0.000250075,0.000250075,0.000250075
52,2303.29,0.67305,0.33352,0.92394,0.96352,0.96238,0.98442,0.7881,0.72876,0.33479,0.94074,0.000226497,0.000226497,0.000226497
53,2344.56,0.67819,0.33118,0.93594,0.98816,0.94745,0.98619,0.78985,0.71089,0.32894,0.93212,0.000202918,0.000202918,0.000202918
54,2386.8,0.65893,0.321,0.92458,0.96018,0.97052,0.98371,0.78899,0.72143,0.32587,0.94116,0.00017934,0.00017934,0.00017934
55,2428.94,0.64932,0.32589,0.91313,0.98156,0.96606,0.9881,0.79659,0.70914,0.31953,0.93634,0.000155761,0.000155761,0.000155761
56,2472.74,0.64301,0.31966,0.91537,0.99769,0.93888,0.98579,0.8004,0.70318,0.31859,0.93088,0.000132183,0.000132183,0.000132183
57,2516.32,0.63051,0.30634,0.90731,0.96426,0.97065,0.9857,0.79257,0.71854,0.31757,0.94082,0.000108604,0.000108604,0.000108604
58,2558.03,0.62778,0.31204,0.90802,0.96731,0.96241,0.982,0.79691,0.69054,0.31649,0.93103,8.50255e-05,8.50255e-05,8.50255e-05
59,2599.61,0.61552,0.30525,0.90165,0.9565,0.97244,0.98129,0.80032,0.69636,0.31511,0.92895,6.1447e-05,6.1447e-05,6.1447e-05
60,2641.82,0.62789,0.31025,0.9179,0.96121,0.98202,0.98322,0.80087,0.68895,0.31274,0.92946,3.78685e-05,3.78685e-05,3.78685e-05
